service_name,device_name,english_phrase
blinds.close,kitchen,Lower the kitchen blinds
blinds.close,living_room,Close the living room blinds
blinds.close,master_bedroom,Shut the master bedroom blinds
blinds.open,kitchen,Could you raise the kitchen blinds
blinds.open,living_room,Open the living room blinds
blinds.open,master_bedroom,Lift the master bedroom blinds
blinds.stop,kitchen,Stop the kitchen blinds where they are
blinds.stop,living_room,Stop adjusting the living room blinds
blinds.stop,master_bedroom,Please halt the master bedroom blinds
blinds.toggle,kitchen,Switch the state of the kitchen blinds
blinds.toggle,living_room,Toggle the living room blinds
blinds.toggle,master_bedroom,Reverse the master bedroom blinds
fan.decrease_speed,attic_1,Slow down the attic fan
fan.decrease_speed,attic_1,Turn down the attic fan
fan.decrease_speed,attic,Slow down the fan in the attic
fan.decrease_speed,bedroom_master,Slow down the master bedroom fan
fan.decrease_speed,garage,Turn down the fan in the garage
fan.decrease_speed,guest_room,Decrease the fan speed in the guest room
fan.decrease_speed,hallway,Lower the fan speed in the hallway
fan.decrease_speed,kitchen,Slow down the kitchen fan
fan.decrease_speed,kitchen,Turn down the kitchen fan
fan.decrease_speed,living_room,Decrease the speed of the living room fan
fan.decrease_speed,living_room,Turn down the living room fan
fan.decrease_speed,study,Reduce the fan speed in the study
fan.increase_speed,attic_1,Increase speed of the attic fan
fan.increase_speed,attic,Accelerate the fan in the attic
fan.increase_speed,bedroom_master,Ramp up the master bedroom fan speed
fan.increase_speed,garage,Turn up the fan in the garage
fan.increase_speed,guest_room,Increase the fan speed in the guest room
fan.increase_speed,hallway,Boost the fan speed in the hallway
fan.increase_speed,living_room,Increase the speed of the living room fan
fan.increase_speed,study,Ramp up the fan speed in the study
fan.toggle,attic_2,Toggle the attic fan
fan.toggle,attic,Change the fan status in the attic
fan.toggle,basement,Toggle the basement fan
fan.toggle,bedroom_master,Switch the state of the master bedroom fan
fan.toggle,bedroom,Toggle the bedroom fan
fan.toggle,dining_table_above,Please toggle the fan above the dining table
fan.toggle,driveway,Flip the driveway fan
fan.toggle,garage,Flip the fan in the garage
fan.toggle,guest_room,Can you toggle the fan in the guest room
fan.toggle,hallway,Switch the state of the fan in the hallway
fan.toggle,kitchen,Toggle the kitchen fan
fan.toggle,living_room,Toggle the fan in the living room
fan.toggle,office,Toggle the office fan
fan.toggle,outdoor,Toggle the outdoor fan
fan.toggle,pool,Change the status of the pool fan
fan.toggle,shed,Switch the shed fan on or off
fan.toggle,study,Alter the fan state in the study
fan.turn_off,attic_1,Disable the attic fan
fan.turn_off,bedroom_master,Deactivate the master bedroom fan
fan.turn_off,dining_area,Please switch off the dining area fan
fan.turn_off,dining_room,Switch off the dining room fan
fan.turn_off,garage,Shut down the garage fan
fan.turn_off,garage,Switch off the garage fan
fan.turn_off,guest_room,Switch off the guest room fan
fan.turn_off,kitchen,Switch off the kitchen fan
fan.turn_off,living_room,Turn off the living room fan
fan.turn_off,office,Could you disable the office fan
fan.turn_off,office,Turn off the office fan
fan.turn_off,patio,Turn off the patio fan
fan.turn_off,study,Switch off the study fan
fan.turn_off,study,Turn off the study fan
fan.turn_on,bathroom,Activate the bathroom fan
fan.turn_on,bathroom,Turn on the bathroom fan
fan.turn_on,bedroom_master,Activate the master bedroom fan
fan.turn_on,dining_area,Please switch on the dining area fan
fan.turn_on,garage,Turn on the garage fan
fan.turn_on,hallway,Enable the hallway fan
fan.turn_on,kitchen,Enable the kitchen fan
fan.turn_on,living_room,Start the living room fan
fan.turn_on,living_room,Turn on the living room fan
fan.turn_on,office,Could you enable the office fan
fan.turn_on,study,Activate the study fan
fan.turn_on,study,Switch on the study fan
garage_door.close,bike_storage,Deactivate the bike storage garage
garage_door.close,main,Close the main garage door
garage_door.close,one_car,Make sure the one car garage is closed
garage_door.close,side,Lower the side garage door
garage_door.open,basement,Please raise the basement garage door
garage_door.open,bike_storage,Activate the bike storage garage
garage_door.open,main,Open the main garage door
garage_door.open,side,Could you lift the side garage door
garage_door.open,two_car,Open the two car garage
garage_door.stop,main,Stop the main garage door
garage_door.stop,side,Halt the side garage door
garage_door.toggle,main,Toggle the main garage door
garage_door.toggle,side,Switch the state of the side garage door
light.toggle,attic,Change the light status in the attic
light.toggle,bedroom_1,Toggle the bedroom light
light.toggle,dining_table_above,Please toggle the light above the dining table
light.toggle,driveway,Flip the driveway light
light.toggle,garage,Flip the light in the garage
light.toggle,guest_room,Could you toggle the light in the guest room
light.toggle,guest_room,Toggle the guest room light
light.toggle,hallway,Switch the state of the light in the hallway
light.toggle,hallway,Toggle the hallway light
light.toggle,kitchen_1,Toggle the kitchen light
light.toggle,kitchen_2,Toggle the kitchen light
light.toggle,office,Toggle the office light
light.toggle,outdoor,Toggle the outdoor light
light.toggle,patio,Toggle the patio light
light.toggle,pool,Change the status of the pool light
light.toggle,shed,Switch the shed light on or off
light.toggle,study,Alter the light state in the study
light.toggle,study,Toggle the study light
light.turn_off,bathroom_1,Please extinguish the bathroom light
light.turn_off,bathroom,Switch off the bathroom light
light.turn_off,bathroom,Turn off the bathroom light
light.turn_off,bedroom_1,Deactivate the bedroom light
light.turn_off,bedroom_2,Switch off the bedroom light
light.turn_off,dining_room,Switch off the dining room light
light.turn_off,dining_room,Turn off the dining room light
light.turn_off,garden_1,Deactivate the garden light
light.turn_off,guest_room,Deactivate the guest room light
light.turn_off,guest_room,Switch off the guest room light
light.turn_off,hallway,Switch off the hallway light
light.turn_off,hallway,Turn off the hallway light
light.turn_off,kitchen_2,Switch off the kitchen light
light.turn_off,kitchen_counter,Switch off the kitchen counter light
light.turn_off,living_room_1,Switch off the living room light
light.turn_off,living_room,Turn off the living room light
light.turn_off,master_bedroom_1,Deactivate the master bedroom light
light.turn_off,master_bedroom_lamp,Turn off the light in the bedroom
light.turn_off,office,Deactivate the office light
light.turn_off,patio,Deactivate the patio light
light.turn_off,patio,Disable the patio light
light.turn_off,pool,Turn off the pool light
light.turn_off,study,Turn off the study light
light.turn_on,bathroom_1,Could you illuminate the bathroom
light.turn_on,bathroom,Activate the bathroom light
light.turn_on,bedroom_1,Activate the bedroom light
light.turn_on,dining_room_1,Activate the lights in the dining room
light.turn_on,dining_room,Activate the dining room light
light.turn_on,driveway,Turn on the driveway light
light.turn_on,garage,Activate the garage light
light.turn_on,garage,Switch on the garage light
light.turn_on,garden_1,Switch on the garden light
light.turn_on,garden_1,Turn on the garden light
light.turn_on,garden_2,Activate the garden light
light.turn_on,garden,Switch on the garden light
light.turn_on,guest_room,Switch on the guest room light
light.turn_on,hallway,Turn on the hallway light
light.turn_on,kitchen_1,Switch on the kitchen lights
light.turn_on,kitchen_1,Turn on the kitchen light
light.turn_on,kitchen_counter,Switch on the kitchen counter light
light.turn_on,living_room,Turn on the living room light
light.turn_on,master_bedroom_1,Please activate the master bedroom light
light.turn_on,office_1,Enable the office light
light.turn_on,patio,Enable the patio light
light.turn_on,patio,Switch on the patio light
light.turn_on,patio,Turn on the patio light
light.turn_on,pool,Activate the pool light
light.turn_on,pool,Turn on the pool light
light.turn_on,shed,Activate the shed light
light.turn_on,shed,Switch on the shed light
light.turn_on,study,Activate the study light
light.turn_on,dining_room_chandelier,Turn on the dining room light
light.turn_on,chandelier_front_hallway,Hey can you turn on the front hallway chandelier
lock.lock,back_door,Engage the back door lock
lock.lock,front_door,Lock the front door
lock.lock,nursery,Can you secure the nursery door
lock.lock,office,Please lock the office
lock.lock,wine_cellar,Could you lock the wine cellar
lock.lock,front_door,Please lock the front door.
lock.lock,garage_door,I need the garage door locked.
lock.lock,main_gate,Ensure the main gate is locked.
lock.lock,office_door,Can we lock the office door?
lock.lock,basement_door,Lock up the basement door.
lock.lock,garden_gate,Please secure the garden gate.
lock.lock,cellar_door,Cellar door should be locked now.
lock.lock,shed_door,Ensure the shed door is securely locked.
lock.lock,laundry_room_door,Can you lock the laundry room door?
lock.lock,guest_room_door,Please lock the guest room door.
lock.lock,fence_gate,Make sure the fence gate is locked.
lock.lock,attic_door,Attic door needs locking.
lock.lock,storage_room_door,Please lock the storage room door.
lock.lock,carport_gate,Carport gate needs to be locked.
lock.lock,front_porch_door,Lock the front porch door.
lock.lock,wine_cellar,Ensure the wine cellar is locked.
lock.lock,home_office,I'd like the home office locked up.
lock.lock,art_studio,The art studio should be locked.
lock.lock,home_gym,Lock the home gym door.
lock.lock,library_door,Please lock the library door.
